"body","brain","km.cluster"
"Arctic fox",3.385,44.5,3
"Owl monkey",0.48,15.5,3
"Mountain beaver",1.35,8.1,3
"Cow",465,423,1
"Grey wolf",36.33,119.5,3
"Goat",27.66,115,3
"Roe deer",14.83,98.2,3
"Guinea pig",1.04,5.5,3
"Verbet",4.19,58,3
"Chinchilla",0.425,6.4,3
"Ground squirrel",0.101,4,3
"Arctic ground squirrel",0.92,5.7,3
"African giant pouched rat",1,6.6,3
"Lesser short-tailed shrew",0.005,0.14,3
"Star-nosed mole",0.06,1,3
"Nine-banded armadillo",3.5,10.8,3
"Tree hyrax",2,12.3,3
"N.A. opossum",1.7,6.3,3
"Asian elephant",2547,4603,2
"Big brown bat",0.023,0.3,3
"Donkey",187.1,419,1
"Horse",521,655,1
"European hedgehog",0.785,3.5,3
"Patas monkey",10,115,3
"Cat",3.3,25.6,3
"Galago",0.2,5,3
"Genet",1.41,17.5,3
"Giraffe",529,680,1
"Gorilla",207,406,1
"Grey seal",85,325,1
"Rock hyrax-a",0.75,12.3,3
"African elephant",6654,5712,2
"Water opossum",3.5,3.9,3
"Rhesus monkey",6.8,179,3
"Kangaroo",35,56,3
"Yellow-bellied marmot",4.05,17,3
"Golden hamster",0.12,1,3
"Mouse",0.023,0.4,3
"Little brown bat",0.01,0.25,3
"Slow loris",1.4,12.5,3
"Okapi",250,490,1
"Rabbit",2.5,12.1,3
"Sheep",55.5,175,3
"Jaguar",100,157,3
"Chimpanzee",52.16,440,1
"Baboon",10.55,179.5,3
"Desert hedgehog",0.55,2.4,3
"Giant armadillo",60,81,3
"Rock hyrax-b",3.6,21,3
"Raccoon",4.288,39.2,3
"Rat",0.28,1.9,3
"E. American mole",0.075,1.2,3
"Mole rat",0.122,3,3
"Musk shrew",0.048,0.33,3
"Pig",192,180,3
"Echidna",3,25,3
"Brazilian tapir",160,169,3
"Tenrec",0.9,2.6,3
"Phalanger",1.62,11.4,3
"Tree shrew",0.104,2.5,3
"Red fox",4.235,50.4,3
